,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,genre,duration
8195,61,55.0,Press,Cardi B,11.0,2180587,-12.4%,https://www.youtube.com/watch?v=cJc7xWJbwJw,"['pop', 'rap', 'post-teen pop', 'dance pop', 'pop rap']",143791
8196,62,69.0,Wrong,Luh Kel,19.0,2104406,1.8%,https://www.youtube.com/watch?v=fB-If0inWuI,"['screamo', 'rock', 'modern rock']",214053
8197,63,67.0,Uno,Ambjaay,11.0,2087451,0.4%,https://www.youtube.com/watch?v=p_M1UoraeFw,[],271556
8198,64,61.0,Laneswitch,Lil Tjay,2.0,2061649,-4.6%,https://www.youtube.com/watch?v=9ULLQA4Yv5c,"['nyc rap', 'brooklyn drill', 'melodic rap']",150000
8199,65,80.0,Drais,Moneybagg Yo,2.0,2054187,9.8%,https://www.youtube.com/watch?v=n37reEpARm8,[],Unknown
8200,66,62.0,11 PM,Maluma,10.0,1994940,-6.7%,https://www.youtube.com/watch?v=IBaSizQyC5g,"['reggaeton', 'latin', 'reggaeton colombiano']",175733
8201,67,70.0,Bitchuary,Shordie Shordie,14.0,1944519,-5%,https://www.youtube.com/watch?v=9WyLkGp9eM0,"['vapor trap', 'baltimore hip hop', 'cali rap']",134213
8202,68,75.0,Big Ole Freak,Megan Thee Stallion,20.0,1930963,-0.6%,https://www.youtube.com/watch?v=oBYf6gpVvRA,"['houston rap', 'pop', 'trap queen', 'pop rap']",214850
8203,69,68.0,EARFQUAKE,"Tyler, The Creator",13.0,1930863,-6.7%,https://www.youtube.com/watch?v=HmAsUQEFYGI,"['hip hop', 'rap']",190066
8204,71,71.0,POR MI NO TE DETENGAS,Banda MS de Sergio Lizárraga,2.0,1917146,-4.1%,https://www.youtube.com/watch?v=5yBGbPUBXFM,[],Unknown
8205,72,66.0,Go Loko (feat. Jon Z & Tyga),YG,15.0,1885410,-9.4%,https://www.youtube.com/watch?v=y2cFkVfVf2Y,[],Unknown
8206,73,81.0,Ballin,Mustard,4.0,1882237,1%,https://www.youtube.com/watch?v=YS0h2-hy9rw,"['trap', 'melodic rap', 'pop r&b']",147480
8207,74,73.0,FREEDDAWG,YoungBoy Never Broke Again,19.0,1845922,-6%,https://www.youtube.com/watch?v=bUAJpE4ycjE,[],Unknown
8208,75,78.0,Rearview Town,Jason Aldean,6.0,1835180,-4%,https://www.youtube.com/watch?v=WEUUvntknTI,"['country road', 'contemporary country', 'country']",184173
8209,76,59.0,"Brown Skin Girl (feat. Blue Ivy, SAINt JHN & Wizkid)",Beyoncé,3.0,1818428,-17.3%,https://www.youtube.com/watch?v=,[],Unknown
8210,77,85.0,Beer Never Broke My Heart,Luke Combs,13.0,1817433,-0.7%,https://www.youtube.com/watch?v=7Lb9dq-JZFI,['contemporary country'],186733
8211,78,74.0,Single Again,Big Sean,2.0,1811697,-7.2%,https://www.youtube.com/watch?v=gSVUfktiLpo,"['texas country', 'country rock', 'country', 'outlaw country']",183786
8212,80,79.0,You Need To Calm Down,Taylor Swift,9.0,1795480,-5.5%,https://www.youtube.com/watch?v=Dkk9gvTmCXY,"['post-teen pop', 'pop']",171360
8213,81,90.0,Ocean Eyes,Billie Eilish,19.0,1785912,2%,https://www.youtube.com/watch?v=viimfQi_pUw,[],137837
8214,82,87.0,Rodeo,Lil Nas X & Cardi B,8.0,1777891,0.2%,https://www.youtube.com/watch?v=kx0Z0B8Xox0,"['hard rock', 'metal', 'rock', 'glam metal', 'sleaze rock']",254040
8215,83,84.0,Wish Wish (feat. Cardi B & 21 Savage),DJ Khaled,13.0,1770850,-3.6%,https://www.youtube.com/watch?v=Oq8z-U3bPgo,"['southern hip hop', 'trap', 'pop', 'atl hip hop', 'rap', 'miami hip hop', 'post-teen pop', 'hip hop', 'dance pop', 'pop rap']",202625
8216,84,77.0,Whiskey Glasses,Morgan Wallen,16.0,1727549,-11%,https://www.youtube.com/watch?v=FjBp30kjzTc,[],180996
8217,85,89.0,Pumped up Kicks,Foster the People,5.0,1724632,-2%,https://www.youtube.com/watch?v=SDTZ7iX4vTQ,[],233743
8218,86,65.0,Dangerously In Love,YNW Melly,3.0,1723881,-18.3%,https://www.youtube.com/watch?v=NuKkSAvL1Bg,"['pop', 'urban contemporary', 'hip pop', 'girl group', 'r&b', 'neo soul', 'dance pop']",306306
8219,88,91.0,Through Da Storm,Polo G,9.0,1715974,-2%,https://www.youtube.com/watch?v=cgMgoUmHqiw,['chicago rap'],195586
8220,89,83.0,Panini,Lil Nas X,8.0,1708015,-7.6%,https://www.youtube.com/watch?v=bXcSLI58-h8,"['country rap', 'queer country', 'lgbtq+ hip hop', 'pop rap']",114893
8221,90,72.0,How Do You Sleep?,Sam Smith,4.0,1663457,-15.8%,https://www.youtube.com/watch?v=PmYypVozQb4,"['modern alternative rock', 'welsh indie']",220977
8222,92,88.0,Triggered (freestyle),Jhené Aiko,12.0,1636315,-7%,https://www.youtube.com/watch?v=t3aHdZfJckg,"['pop', 'urban contemporary', 'alternative r&b', 'r&b', 'dance pop', 'pop rap']",209933
8223,93,86.0,4 Sons of a King,YoungBoy Never Broke Again,9.0,1634167,-8.3%,https://www.youtube.com/watch?v=fVVnQyRhtTk,[],Unknown
8224,94,99.0,LA CANCIÓN,J Balvin & Bad Bunny,4.0,1612962,1.7%,https://www.youtube.com/watch?v=LxOTsiV4tkQ,"['trap latino', 'reggaeton', 'latin', 'reggaeton colombiano']",242573
8225,97,64.0,Facts,Kevin Gates,3.0,1596993,-24.4%,https://www.youtube.com/watch?v=_ftNS7EFysY,['ohio hip hop'],264045
8226,99,96.0,Imperfect Flower,Quando Rondo,14.0,1585175,-1.9%,https://www.youtube.com/watch?v=o2D442OGeaQ,[],Unknown
8227,1,1.0,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,25.0,16085998,-12.6%,https://www.youtube.com/watch?v=r7qovpFAGrQ,[],Unknown
8228,2,4.0,Ransom,Lil Tecca,12.0,11330176,26%,https://www.youtube.com/watch?v=1XzY2ij_vL4,"['trap', 'rap', 'melodic rap', 'pop rap']",131240
8229,3,2.0,No Guidance (feat. Drake),Chris Brown,11.0,9506846,-14.7%,https://www.youtube.com/watch?v=fVsHtPPP8X8,"['pop', 'rap', 'toronto rap', 'canadian hip hop', 'canadian pop', 'hip hop', 'r&b', 'dance pop', 'pop rap']",260640
8230,4,5.0,Señorita,Shawn Mendes & Camila Cabello,9.0,9262793,5.1%,https://www.youtube.com/watch?v=Pkh8UtuejGw,[],175213
8231,5,6.0,Truth Hurts,Lizzo,16.0,7417796,9.7%,https://www.youtube.com/watch?v=P00HMxdsVZI,"['pop', 'minnesota hip hop', 'post-teen pop', 'trap queen', 'escape room', 'dance pop', 'pop rap']",173325
8232,6,3.0,Queen of Mean,Sarah Jeffery,3.0,7097158,-27.6%,https://www.youtube.com/watch?v=r9o1QS-itsU,[],189386
8233,7,7.0,Sunflower,Post Malone & Swae Lee,44.0,7037993,7.7%,https://www.youtube.com/watch?v=ApXoWvfEYVU,[],223266
8234,8,9.0,Shotta Flow,NLE Choppa,31.0,6182323,2%,https://www.youtube.com/watch?v=3W0e7aI0gAg,"['trap', 'memphis hip hop']",160013
8235,9,11.0,bad guy,Billie Eilish,21.0,5955802,0.5%,https://www.youtube.com/watch?v=DyDfgMOUjCI,"['electropop', 'pop']",194087
8236,10,17.0,Mac 10 (feat. Lil Baby & Lil Duke),Trippie Redd,3.0,5732825,29%,https://www.youtube.com/watch?v=rHp3OdBZTqs,[],Unknown
8237,11,8.0,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",5.0,5486234,-13.4%,https://www.youtube.com/watch?v=0VR3dfZf9Yg,"['afro-cuban percussion', 'salsa', 'musica tradicional cubana', 'latin jazz', 'mambo', 'jazz puertorriqueno']",175933
8238,13,10.0,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,2.0,5416183,-9.2%,https://www.youtube.com/watch?v=FbcLcSY2au4,"['southern hip hop', 'trap', 'pop', 'hip pop', 'houston rap', 'post-teen pop', 'queens hip hop', 'hip hop', 'trap queen', 'trap soul', 'r&b', 'dance pop', 'pop rap']",199427
8239,14,13.0,No Me Conoce (Remix),"Jhay cortez, J Balvin & Bad Bunny",12.0,5314207,-0.6%,https://www.youtube.com/watch?v=w2C6RhQBYlg,[],Unknown
8240,15,41.0,The Git Up,Blanco Brown,11.0,4984169,75.3%,https://www.youtube.com/watch?v=DT4kQlM5xuE,['country rap'],200593
8241,17,14.0,Suge (Yea Yea),DaBaby,24.0,4859335,-7.3%,https://www.youtube.com/watch?v=KvuQNNVrbtM,[],Unknown
8242,18,16.0,POP OUT (feat. Lil Tjay),Polo G,30.0,4695752,0.2%,https://www.youtube.com/watch?v=g-uW3I_AtDE,[],Unknown
8243,19,15.0,Otro Trago (feat. Darell),Sech,15.0,4651621,-8.7%,https://www.youtube.com/watch?v=t_qn-f7XfJo,[],Unknown
8244,20,23.0,Goodbyes (feat. Young Thug),Post Malone,7.0,4492354,21.3%,https://www.youtube.com/watch?v=ba7mB8oueCY,"['trap', 'atl trap', 'rap', 'atl hip hop', 'hip hop', 'gangster rap', 'dfw rap', 'melodic rap', 'pop rap']",174853
8245,21,51.0,Si Se Da,Myke Towers & Farruko,15.0,4410456,80%,https://www.youtube.com/watch?v=LXjRV-oSD1U,"['latin hip hop', 'latin', 'tropical', 'reggaeton', 'trap latino']",237013
8246,22,12.0,Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",3.0,4215987,-26.4%,https://www.youtube.com/watch?v=i8pK6qmtllU,"['indie shoegaze', 'nu gaze', 'shoegaze']",241798
8247,24,19.0,Cash Shit (feat. DaBaby),Megan Thee Stallion,9.0,4153290,-0%,https://www.youtube.com/watch?v=2Xe7OAFljOA,"['pop', 'rap', 'houston rap', 'trap queen', 'north carolina hip hop', 'pop rap']",192539
8248,25,18.0,Callaíta,Bad Bunny,12.0,4070587,-5.3%,https://www.youtube.com/watch?v=acEOASYioGY,[],Unknown
8249,26,21.0,Money In The Grave (feat. Rick Ross),Drake,10.0,4050036,4.7%,https://www.youtube.com/watch?v=JFOiJ5ZvQlE,[],Unknown
8250,27,20.0,Clout (feat. Cardi B),Offset,22.0,3904140,-0.2%,https://www.youtube.com/watch?v=mt2zvsvkKKo,"['southern hip hop', 'trap', 'pop', 'atl hip hop', 'rap', 'post-teen pop', 'hip hop', 'dance pop', 'pop rap']",205803
8251,28,24.0,Close Friends,Lil Baby & Gunna,46.0,3697674,4%,https://www.youtube.com/watch?v=hhzYbExfVIY,"['alternative metal', 'post-grunge', 'industrial metal', 'rap metal', 'rap rock', 'nu metal']",204066
8252,29,27.0,Without Me,Halsey,46.0,3606905,1.9%,https://www.youtube.com/watch?v=ZAfAud_M_mg,"['hip hop', 'rap', 'detroit hip hop']",290320
8253,30,30.0,Better,Khalid,45.0,3417425,1.2%,https://www.youtube.com/watch?v=x3bfa3DZ8JM,"['alternative metal', 'grunge', 'industrial metal', 'rock', 'alternative rock', 'industrial rock', 'rap rock', 'post-hardcore', 'nu metal']",190066
8254,31,29.0,Envy Me,Calboy,39.0,3320468,-1.8%,https://www.youtube.com/watch?v=FhPvceQcfzE,"['trap', 'rap', 'vapor trap', 'chicago rap', 'melodic rap']",120133
8255,32,33.0,My Type,Saweetie,7.0,3274276,2.1%,https://www.youtube.com/watch?v=x5c2iRHlAHA,['australian comedy'],136320
8256,33,94.0,LA CANCIÓN,J Balvin & Bad Bunny,5.0,3260924,102.2%,https://www.youtube.com/watch?v=LxOTsiV4tkQ,"['trap latino', 'reggaeton', 'latin', 'reggaeton colombiano']",242573
8257,34,39.0,Someone You Loved,Lewis Capaldi,7.0,3124359,8.2%,https://www.youtube.com/watch?v=zABLecsR5UE,"['pop', 'uk pop']",182160
8258,36,32.0,The London (feat. J. Cole & Travis Scott),Young Thug,13.0,3030269,-7.4%,https://www.youtube.com/watch?v=OKhT_6XtD7I,"['trap', 'atl trap', 'atl hip hop', 'rap', 'hip hop', 'slap house', 'gangster rap', 'north carolina hip hop', 'conscious hip hop', 'melodic rap', 'pop rap']",200186
8259,37,31.0,BIG,Young M.A,2.0,2938123,-12.3%,https://www.youtube.com/watch?v=Ma_0WZbksBE,"['trap', 'lgbtq+ hip hop', 'rap', 'nyc rap', 'pop rap']",225919
8260,38,34.0,7 rings,Ariana Grande,31.0,2924378,-7.7%,https://www.youtube.com/watch?v=QYh6mYIJG2Y,"['post-teen pop', 'pop', 'dance pop']",178626
8261,39,40.0,Happier (feat. Bastille),Marshmello,49.0,2898394,0.5%,https://www.youtube.com/watch?v=m7Bc3pLyij0,[],Unknown
8262,40,35.0,Talk,"Khalid, Megan Thee Stallion & Yo Gotti",24.0,2878781,-8.6%,https://www.youtube.com/watch?v=hE2Ira-Cwxo,"['australian pop', 'pop', 'edm', 'pop dance', 'electro house', 'electronic trap', 'dance pop', 'pop rap']",237960
8263,41,53.0,F.N,Lil Tjay,2.0,2852402,18.9%,https://www.youtube.com/watch?v=R9RtTGzs5EE,"['nyc rap', 'brooklyn drill', 'melodic rap']",224000
8264,42,38.0,Con Calma (Remix) (feat. Snow),Daddy Yankee & Katy Perry,30.0,2797774,-6.8%,https://www.youtube.com/watch?v=lmCEZhb-z-Q,[],Unknown
8265,44,47.0,God's Country,Blake Shelton,19.0,2648893,1.2%,https://www.youtube.com/watch?v=ZEWGyyLiqY4,"['oklahoma country', 'country road', 'contemporary country', 'country']",204800
8266,46,46.0,Wow.,Post Malone,35.0,2581269,-4.6%,https://www.youtube.com/watch?v=393C3pr2ioY,"['rap', 'dfw rap', 'melodic rap']",149546
8267,47,25.0,Baby,Lil Baby & DaBaby,5.0,2537965,-28.5%,https://www.youtube.com/watch?v=0GbwYFqN1iE,"['jazz blues', 'vocal jazz', 'adult standards', 'swing']",163013
8268,48,26.0,SOLTERA (feat. Chris Jedi & Gaby Music),Lunay,15.0,2505791,-29.3%,https://www.youtube.com/watch?v=YZxmoOvqWek,[],Unknown
8269,49,44.0,Easy (Remix) (feat. Chris Brown),DaniLeigh,10.0,2500248,-8.7%,https://www.youtube.com/watch?v=7Nbv3reNErw,[],Unknown
8270,51,43.0,Daddy (feat. Rich The Kid),Blueface,9.0,2473194,-10.7%,https://www.youtube.com/watch?v=-z6tnA8DfG8,[],Unknown
8271,52,55.0,It's You,Ali Gatie,10.0,2440448,4.6%,https://www.youtube.com/watch?v=F-cO2CMue4Q,['sunshine pop'],201306
8272,53,45.0,Shotta Flow 3,NLE Choppa,5.0,2435211,-10.5%,https://www.youtube.com/watch?v=FvGgFzagfI4,"['trap', 'memphis hip hop']",181237
8273,54,52.0,Con Altura (feat. El Guincho),ROSALÍA & J Balvin,18.0,2432840,1.4%,https://www.youtube.com/watch?v=p7bfOZek9t4,[],Unknown
8274,55,42.0,boyfriend,Ariana Grande & Social House,3.0,2404007,-15.1%,https://www.youtube.com/watch?v=9SRxBTtspYM,['workout product'],193234
8275,56,89.0,Panini,Lil Nas X,9.0,2335086,36.7%,https://www.youtube.com/watch?v=bXcSLI58-h8,"['country rap', 'queer country', 'lgbtq+ hip hop', 'pop rap']",114893
8276,57,60.0,Did it Again,Lil Tecca,3.0,2329357,5.2%,https://www.youtube.com/watch?v=YdrUe_IFSjs,[],Unknown
8277,58,58.0,Leave Em Alone (feat. City Girls & PnB Rock),"Quality Control, Layton Greene & Lil Baby",7.0,2243152,-1.5%,https://www.youtube.com/watch?v=DApzVVyNMRI,[],Unknown
8278,59,36.0,Do What You Gotta Do,Dove Cameron & Cheyenne Jackson,3.0,2178435,-30%,https://www.youtube.com/watch?v=PrL_b__CHrw,"['soul', 'classic soul', 'southern soul', 'rhythm and blues', 'motown', 'funk']",154493
8279,60,56.0,I Don't Care,Ed Sheeran & Justin Bieber,15.0,2169827,-5.8%,https://www.youtube.com/watch?v=y83x7MgzWOA,"['acoustic blues', 'piedmont blues', 'traditional blues', 'country blues', 'blues']",174026
8280,61,66.0,11 PM,Maluma,11.0,2167107,8.6%,https://www.youtube.com/watch?v=IBaSizQyC5g,"['reggaeton', 'latin', 'reggaeton colombiano']",175733
8281,62,62.0,Wrong,Luh Kel,20.0,2104634,0%,https://www.youtube.com/watch?v=fB-If0inWuI,"['screamo', 'rock', 'modern rock']",214053
8282,63,37.0,One Kiss,"Sofia Carson, Dove Cameron & China Anne McClain",3.0,2098832,-31%,https://www.youtube.com/watch?v=51A5vUrEgqg,"['pop', 'edm', 'uk dance', 'pop dance', 'electro house', 'house', 'progressive house', 'uk pop', 'dance pop', 'pop rap']",209040
8283,64,80.0,You Need To Calm Down,Taylor Swift,10.0,2097110,16.8%,https://www.youtube.com/watch?v=Dkk9gvTmCXY,"['post-teen pop', 'pop']",171360
8284,67,63.0,Uno,Ambjaay,12.0,2023858,-3%,https://www.youtube.com/watch?v=p_M1UoraeFw,[],271556
8285,68,28.0,Middle Child (feat. XXXTENTACION),PnB Rock,2.0,1955008,-42.9%,https://www.youtube.com/watch?v=ca0h9TnbTIo,[],Unknown
8286,69,74.0,FREEDDAWG,YoungBoy Never Broke Again,20.0,1948301,5.5%,https://www.youtube.com/watch?v=bUAJpE4ycjE,[],Unknown
8287,70,73.0,Ballin,Mustard,5.0,1915024,1.7%,https://www.youtube.com/watch?v=YS0h2-hy9rw,"['trap', 'melodic rap', 'pop r&b']",147480
8288,72,67.0,Bitchuary,Shordie Shordie,15.0,1842076,-5.3%,https://www.youtube.com/watch?v=9WyLkGp9eM0,"['vapor trap', 'baltimore hip hop', 'cali rap']",134213
8289,73,48.0,Break This Down,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, China Anne McClain, Mitchell Hope, Thomas Doherty, Dylan Playfair, Sarah Jeffery, Jadah Marie, Brenna D'Amico & Zachary Gibson",3.0,1835386,-29.8%,https://www.youtube.com/watch?v=6PiM60us7bQ,"['social media pop', 'pop', 'post-teen pop', 'disney', 'dance pop']",209426
8290,74,90.0,How Do You Sleep?,Sam Smith,5.0,1832126,10.1%,https://www.youtube.com/watch?v=PmYypVozQb4,"['modern alternative rock', 'welsh indie']",220977
8291,75,69.0,EARFQUAKE,"Tyler, The Creator",14.0,1828966,-5.3%,https://www.youtube.com/watch?v=HmAsUQEFYGI,"['hip hop', 'rap']",190066
8292,76,84.0,Whiskey Glasses,Morgan Wallen,17.0,1828312,5.8%,https://www.youtube.com/watch?v=FjBp30kjzTc,[],180996
8293,77,81.0,Ocean Eyes,Billie Eilish,20.0,1810807,1.4%,https://www.youtube.com/watch?v=viimfQi_pUw,[],137837
8294,78,77.0,Beer Never Broke My Heart,Luke Combs,14.0,1802495,-0.8%,https://www.youtube.com/watch?v=7Lb9dq-JZFI,['contemporary country'],186733
8295,79,83.0,Wish Wish (feat. Cardi B & 21 Savage),DJ Khaled,14.0,1778427,0.4%,https://www.youtube.com/watch?v=Oq8z-U3bPgo,"['southern hip hop', 'trap', 'pop', 'atl hip hop', 'rap', 'miami hip hop', 'post-teen pop', 'hip hop', 'dance pop', 'pop rap']",202625
8296,80,95.0,Beautiful People (feat. Khalid),Ed Sheeran,3.0,1761751,9.3%,https://www.youtube.com/watch?v=mj0XInqZMHY,"['post-teen pop', 'pop', 'uk pop', 'alternative r&b']",197866
8297,81,92.0,Triggered (freestyle),Jhené Aiko,13.0,1737272,6.2%,https://www.youtube.com/watch?v=t3aHdZfJckg,"['pop', 'urban contemporary', 'alternative r&b', 'r&b', 'dance pop', 'pop rap']",209933
8298,82,72.0,Go Loko (feat. Jon Z & Tyga),YG,16.0,1734996,-8%,https://www.youtube.com/watch?v=y2cFkVfVf2Y,[],Unknown
8299,83,98.0,Exchange,Bryson Tiller,11.0,1732922,9%,https://www.youtube.com/watch?v=aj9coPGuFkM,"['nu jazz', 'electronica', 'trip hop', 'big beat', 'downtempo']",251200
8300,84,93.0,4 Sons of a King,YoungBoy Never Broke Again,10.0,1712970,4.8%,https://www.youtube.com/watch?v=fVVnQyRhtTk,[],Unknown
8301,85,86.0,Dangerously In Love,YNW Melly,4.0,1693022,-1.8%,https://www.youtube.com/watch?v=NuKkSAvL1Bg,"['pop', 'urban contemporary', 'hip pop', 'girl group', 'r&b', 'neo soul', 'dance pop']",306306
8302,86,57.0,Good to Be Bad,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Jadah Marie & Anna Cathcart",4.0,1671277,-26.6%,https://www.youtube.com/watch?v=lvjkBcBBrmE,"['post-teen pop', 'social media pop', 'pop', 'dance pop']",189866
8303,88,96.0,Rumor,Lee Brice,15.0,1643793,2.5%,https://www.youtube.com/watch?v=ObptpVRe6ek,"['country road', 'modern country rock', 'contemporary country', 'country']",198440
8304,89,22.0,Gold Roses (feat. Drake),Rick Ross,4.0,1642700,-55.8%,https://www.youtube.com/watch?v=-HmtzK0VDio,"['southern hip hop', 'trap', 'rap', 'toronto rap', 'canadian hip hop', 'hip hop', 'canadian pop', 'gangster rap', 'dirty south rap', 'pop rap']",349600
8305,90,88.0,Through Da Storm,Polo G,10.0,1637670,-4.6%,https://www.youtube.com/watch?v=cgMgoUmHqiw,['chicago rap'],195586
8306,91,82.0,Rodeo,Lil Nas X & Cardi B,9.0,1637294,-7.9%,https://www.youtube.com/watch?v=kx0Z0B8Xox0,"['hard rock', 'metal', 'rock', 'glam metal', 'sleaze rock']",254040
8307,93,85.0,Pumped up Kicks,Foster the People,6.0,1631869,-5.4%,https://www.youtube.com/watch?v=SDTZ7iX4vTQ,[],233743
8308,94,97.0,Facts,Kevin Gates,4.0,1620116,1.4%,https://www.youtube.com/watch?v=_ftNS7EFysY,['ohio hip hop'],264045
8309,100,99.0,Imperfect Flower,Quando Rondo,15.0,1481716,-6.5%,https://www.youtube.com/watch?v=o2D442OGeaQ,[],Unknown
8310,1,1.0,Old Town Road (feat. Billy Ray Cyrus),Lil Nas X,26.0,14360235,-10.7%,https://www.youtube.com/watch?v=r7qovpFAGrQ,[],Unknown
8311,2,3.0,No Guidance (feat. Drake),Chris Brown,12.0,10407487,9.5%,https://www.youtube.com/watch?v=fVsHtPPP8X8,"['pop', 'rap', 'toronto rap', 'canadian hip hop', 'canadian pop', 'hip hop', 'r&b', 'dance pop', 'pop rap']",260640
8312,3,2.0,Ransom,Lil Tecca,13.0,10151877,-10.4%,https://www.youtube.com/watch?v=1XzY2ij_vL4,"['trap', 'rap', 'melodic rap', 'pop rap']",131240
8313,4,47.0,Baby,Lil Baby & DaBaby,6.0,9037106,256.1%,https://www.youtube.com/watch?v=0GbwYFqN1iE,"['jazz blues', 'vocal jazz', 'adult standards', 'swing']",163013
8314,5,4.0,Señorita,Shawn Mendes & Camila Cabello,10.0,8811855,-4.9%,https://www.youtube.com/watch?v=Pkh8UtuejGw,[],175213
8315,6,26.0,Money In The Grave (feat. Rick Ross),Drake,11.0,8648952,113.6%,https://www.youtube.com/watch?v=JFOiJ5ZvQlE,[],Unknown
8316,7,5.0,Truth Hurts,Lizzo,17.0,8442732,13.8%,https://www.youtube.com/watch?v=P00HMxdsVZI,"['pop', 'minnesota hip hop', 'post-teen pop', 'trap queen', 'escape room', 'dance pop', 'pop rap']",173325
8317,9,7.0,Sunflower,Post Malone & Swae Lee,45.0,6917988,-1.7%,https://www.youtube.com/watch?v=ApXoWvfEYVU,[],223266
8318,10,6.0,Queen of Mean,Sarah Jeffery,4.0,6658189,-6.2%,https://www.youtube.com/watch?v=r9o1QS-itsU,[],189386
8319,11,41.0,F.N,Lil Tjay,3.0,6448227,126.1%,https://www.youtube.com/watch?v=R9RtTGzs5EE,"['nyc rap', 'brooklyn drill', 'melodic rap']",224000
8320,12,12.0,On Chill (feat. Jeremih),Wale,2.0,6390079,16.7%,https://www.youtube.com/watch?v=iX9ICUr1yEw,"['southern hip hop', 'trap', 'pop', 'r&b', 'rap', 'urban contemporary', 'post-teen pop', 'chicago rap', 'hip hop', 'gangster rap', 'dance pop', 'pop rap']",214035
8321,13,9.0,bad guy,Billie Eilish,22.0,6354684,6.7%,https://www.youtube.com/watch?v=DyDfgMOUjCI,"['electropop', 'pop']",194087
8322,15,8.0,Shotta Flow,NLE Choppa,32.0,5666878,-8.3%,https://www.youtube.com/watch?v=3W0e7aI0gAg,"['trap', 'memphis hip hop']",160013
8323,16,15.0,The Git Up,Blanco Brown,12.0,4982074,-0%,https://www.youtube.com/watch?v=DT4kQlM5xuE,['country rap'],200593
8324,17,11.0,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",6.0,4901734,-10.7%,https://www.youtube.com/watch?v=0VR3dfZf9Yg,"['afro-cuban percussion', 'salsa', 'musica tradicional cubana', 'latin jazz', 'mambo', 'jazz puertorriqueno']",175933
8325,18,14.0,No Me Conoce (Remix),"Jhay cortez, J Balvin & Bad Bunny",13.0,4594469,-13.5%,https://www.youtube.com/watch?v=w2C6RhQBYlg,[],Unknown
8326,19,19.0,Otro Trago (feat. Darell),Sech,16.0,4485950,-3.6%,https://www.youtube.com/watch?v=t_qn-f7XfJo,[],Unknown
8327,20,18.0,POP OUT (feat. Lil Tjay),Polo G,31.0,4388581,-6.5%,https://www.youtube.com/watch?v=g-uW3I_AtDE,[],Unknown
8328,21,17.0,Suge (Yea Yea),DaBaby,25.0,4378192,-9.9%,https://www.youtube.com/watch?v=KvuQNNVrbtM,[],Unknown
8329,22,20.0,Goodbyes (feat. Young Thug),Post Malone,8.0,4132900,-8%,https://www.youtube.com/watch?v=ba7mB8oueCY,"['trap', 'atl trap', 'rap', 'atl hip hop', 'hip hop', 'gangster rap', 'dfw rap', 'melodic rap', 'pop rap']",174853
8330,23,24.0,Cash Shit (feat. DaBaby),Megan Thee Stallion,10.0,3903722,-6%,https://www.youtube.com/watch?v=2Xe7OAFljOA,"['pop', 'rap', 'houston rap', 'trap queen', 'north carolina hip hop', 'pop rap']",192539
8331,24,25.0,Callaíta,Bad Bunny,13.0,3755493,-7.7%,https://www.youtube.com/watch?v=acEOASYioGY,[],Unknown
8332,25,27.0,Clout (feat. Cardi B),Offset,23.0,3608915,-7.6%,https://www.youtube.com/watch?v=mt2zvsvkKKo,"['southern hip hop', 'trap', 'pop', 'atl hip hop', 'rap', 'post-teen pop', 'hip hop', 'dance pop', 'pop rap']",205803
8333,26,22.0,Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",4.0,3564056,-15.5%,https://www.youtube.com/watch?v=i8pK6qmtllU,"['indie shoegaze', 'nu gaze', 'shoegaze']",241798
8334,27,34.0,Someone You Loved,Lewis Capaldi,8.0,3547840,13.6%,https://www.youtube.com/watch?v=zABLecsR5UE,"['pop', 'uk pop']",182160
8335,29,31.0,Envy Me,Calboy,40.0,3354136,1%,https://www.youtube.com/watch?v=FhPvceQcfzE,"['trap', 'rap', 'vapor trap', 'chicago rap', 'melodic rap']",120133
8336,30,64.0,You Need To Calm Down,Taylor Swift,11.0,3333052,58.9%,https://www.youtube.com/watch?v=Dkk9gvTmCXY,"['post-teen pop', 'pop']",171360
8337,31,28.0,Close Friends,Lil Baby & Gunna,47.0,3269715,-11.6%,https://www.youtube.com/watch?v=hhzYbExfVIY,"['alternative metal', 'post-grunge', 'industrial metal', 'rap metal', 'rap rock', 'nu metal']",204066
8338,32,16.0,Juicy,Doja Cat & Tyga,2.0,3266124,-34%,https://www.youtube.com/watch?v=YIALlhlyqO4,"['southern hip hop', 'trap', 'pop', 'rap', 'hip hop', 'dance pop', 'pop rap']",203093
